"R_growth_cyano","R_growth_green","R_growth_diatom","w_p_cyano","w_p_green","w_p_diatom","deviation","datetime","variable","prediction"
3,2,3,0.2,-0.13,-0.15,0,2018-10-18,"PHY_tchla_1.6",15.0223374293026
3,2,3,0.2,-0.13,-0.15,0,2018-10-19,"PHY_tchla_1.6",14.9653674665467
3,2,3,0.2,-0.13,-0.15,0,2018-10-20,"PHY_tchla_1.6",14.8215275440774
3,2,3,0.2,-0.13,-0.15,0,2018-10-21,"PHY_tchla_1.6",15.924215615612
3,2,3,0.2,-0.13,-0.15,0,2018-10-22,"PHY_tchla_1.6",15.7328345150793
3,2,3,0.2,-0.13,-0.15,0,2018-10-23,"PHY_tchla_1.6",16.6442829218609
3,2,3,0.2,-0.13,-0.15,0,2018-10-24,"PHY_tchla_1.6",17.4458656316635
3,2,3,0.2,-0.13,-0.15,0,2018-10-25,"PHY_tchla_1.6",16.869350884733
3,2,3,0.2,-0.13,-0.15,0,2018-10-26,"PHY_tchla_1.6",17.435469080864
3,2,3,0.2,-0.13,-0.15,0,2018-10-27,"PHY_tchla_1.6",16.8471389057704
3,2,3,0.2,-0.13,-0.15,0,2018-10-28,"PHY_tchla_1.6",17.3770333556511
3,2,3,0.2,-0.13,-0.15,0,2018-10-29,"PHY_tchla_1.6",17.3543866744293
3,2,3,0.2,-0.13,-0.15,0,2018-10-30,"PHY_tchla_1.6",17.4266042185567
3,2,3,0.2,-0.13,-0.15,0,2018-10-31,"PHY_tchla_1.6",16.4252085818264
3,2,3,0.2,-0.13,-0.15,0,2018-11-01,"PHY_tchla_1.6",16.4932700048111
3,2,3,0.2,-0.13,-0.15,0,2018-11-02,"PHY_tchla_1.6",17.9573862107032
3,2,3,0.2,-0.13,-0.15,0,2018-11-03,"PHY_tchla_1.6",17.8938986167657
3,2,3,0.2,-0.13,-0.15,0,2018-11-04,"PHY_tchla_1.6",17.4220001465318
3,2,3,0.2,-0.13,-0.15,0,2018-11-05,"PHY_tchla_1.6",17.3619526566421
3,2,3,0.2,-0.13,-0.15,0,2018-11-06,"PHY_tchla_1.6",16.5031523875707
3,2,3,0.2,-0.13,-0.15,0,2018-11-07,"PHY_tchla_1.6",17.2712555452097
3,2,3,0.2,-0.13,-0.15,0,2018-11-08,"PHY_tchla_1.6",16.1766781007409
3,2,3,0.2,-0.13,-0.15,0,2018-11-09,"PHY_tchla_1.6",16.2953822037916
3,2,3,0.2,-0.13,-0.15,0,2018-11-10,"PHY_tchla_1.6",15.1542359470204
3,2,3,0.2,-0.13,-0.15,0,2018-11-11,"PHY_tchla_1.6",13.8473826689888
3,2,3,0.2,-0.13,-0.15,0,2018-11-12,"PHY_tchla_1.6",13.8086380804816
3,2,3,0.2,-0.13,-0.15,0,2018-11-13,"PHY_tchla_1.6",13.5347091802963
3,2,3,0.2,-0.13,-0.15,0,2018-11-14,"PHY_tchla_1.6",13.3513021752161
3,2,3,0.2,-0.13,-0.15,0,2018-11-15,"PHY_tchla_1.6",13.2790334524258
3,2,3,0.2,-0.13,-0.15,0,2018-11-16,"PHY_tchla_1.6",13.0257621078603
3,2,3,0.2,-0.13,-0.15,0,2018-11-17,"PHY_tchla_1.6",13.2147310474763
3,2,3,0.2,-0.13,-0.15,0,2018-11-18,"PHY_tchla_1.6",13.3873868490578
3,2,3,0.2,-0.13,-0.15,0,2018-11-19,"PHY_tchla_1.6",13.6370101134582
3,2,3,0.2,-0.13,-0.15,0,2018-11-20,"PHY_tchla_1.6",12.8579031019042
3,2,3,0.2,-0.13,-0.15,0,2018-11-21,"PHY_tchla_1.6",13.8466995924379
3,2,3,0.2,-0.13,-0.15,0,2018-11-22,"PHY_tchla_1.6",13.2785143424999
3,2,3,0.2,-0.13,-0.15,0,2018-11-23,"PHY_tchla_1.6",13.621772209158
3,2,3,0.2,-0.13,-0.15,0,2018-11-24,"PHY_tchla_1.6",13.5697177276414
3,2,3,0.2,-0.13,-0.15,0,2018-11-25,"PHY_tchla_1.6",13.2573495335677
3,2,3,0.2,-0.13,-0.15,0,2018-11-26,"PHY_tchla_1.6",13.6337712370493
3,2,3,0.2,-0.13,-0.15,0,2018-11-27,"PHY_tchla_1.6",13.6994922203021
3,2,3,0.2,-0.13,-0.15,0,2018-11-28,"PHY_tchla_1.6",13.5179551764327
3,2,3,0.2,-0.13,-0.15,0,2018-11-29,"PHY_tchla_1.6",13.6385548900777
3,2,3,0.2,-0.13,-0.15,0,2018-11-30,"PHY_tchla_1.6",14.4220722344509
3,2,3,0.2,-0.13,-0.15,0,2018-12-01,"PHY_tchla_1.6",15.0471984461299
3,2,3,0.2,-0.13,-0.15,0,2018-12-02,"PHY_tchla_1.6",15.0302688979221
3,2,3,0.2,-0.13,-0.15,0,2018-12-03,"PHY_tchla_1.6",15.7075158268226
3,2,3,0.2,-0.13,-0.15,0,2018-12-04,"PHY_tchla_1.6",14.7966643962149
3,2,3,0.2,-0.13,-0.15,0,2018-12-05,"PHY_tchla_1.6",14.3406177379757
3,2,3,0.2,-0.13,-0.15,0,2018-12-06,"PHY_tchla_1.6",14.1559669152475
3,2,3,0.2,-0.13,-0.15,0,2018-12-07,"PHY_tchla_1.6",14.2696810088986
3,2,3,0.2,-0.13,-0.15,0,2018-12-08,"PHY_tchla_1.6",14.2789102330337
3,2,3,0.2,-0.13,-0.15,0,2018-12-09,"PHY_tchla_1.6",14.3250171815146
3,2,3,0.2,-0.13,-0.15,0,2018-12-10,"PHY_tchla_1.6",14.2118805106405
3,2,3,0.2,-0.13,-0.15,0,2018-12-11,"PHY_tchla_1.6",14.2435948236955
3,2,3,0.2,-0.13,-0.15,0,2018-12-12,"PHY_tchla_1.6",14.3205008413045
3,2,3,0.2,-0.13,-0.15,0,2018-12-13,"PHY_tchla_1.6",13.4313913384608
3,2,3,0.2,-0.13,-0.15,0,2018-12-14,"PHY_tchla_1.6",14.3333578669192
3,2,3,0.2,-0.13,-0.15,0,2018-12-15,"PHY_tchla_1.6",14.1999464479198
3,2,3,0.2,-0.13,-0.15,0,2018-12-16,"PHY_tchla_1.6",14.1796883212823
3,2,3,0.2,-0.13,-0.15,0,2018-12-17,"PHY_tchla_1.6",13.9303800747014
3,2,3,0.2,-0.13,-0.15,0,2018-12-18,"PHY_tchla_1.6",13.9191232651342
3,2,3,0.2,-0.13,-0.15,0,2018-12-19,"PHY_tchla_1.6",14.0367001699465
3,2,3,0.2,-0.13,-0.15,0,2018-12-20,"PHY_tchla_1.6",14.3392594482314
3,2,3,0.2,-0.13,-0.15,0,2018-12-21,"PHY_tchla_1.6",14.6587806763215
3,2,3,0.2,-0.13,-0.15,0,2018-12-22,"PHY_tchla_1.6",13.750886685766
3,2,3,0.2,-0.13,-0.15,0,2018-12-23,"PHY_tchla_1.6",13.7473311716673
3,2,3,0.2,-0.13,-0.15,0,2018-12-24,"PHY_tchla_1.6",14.3009711681271
3,2,3,0.2,-0.13,-0.15,0,2018-12-25,"PHY_tchla_1.6",14.0169440479308
3,2,3,0.2,-0.13,-0.15,0,2018-12-26,"PHY_tchla_1.6",14.7198549329984
3,2,3,0.2,-0.13,-0.15,0,2018-12-27,"PHY_tchla_1.6",14.9781192645743
3,2,3,0.2,-0.13,-0.15,0,2018-12-28,"PHY_tchla_1.6",15.0096431922366
3,2,3,0.2,-0.13,-0.15,0,2018-12-29,"PHY_tchla_1.6",14.8996549928574
3,2,3,0.2,-0.13,-0.15,0,2018-12-30,"PHY_tchla_1.6",14.9265213673379
3,2,3,0.2,-0.13,-0.15,0,2018-12-31,"PHY_tchla_1.6",15.5324627001899
3,2,3,0.2,-0.13,-0.15,0,2019-01-01,"PHY_tchla_1.6",15.6668864949994
3,2,3,0.2,-0.13,-0.15,0,2019-01-02,"PHY_tchla_1.6",16.0821373563212
3,2,3,0.2,-0.13,-0.15,0,2019-01-03,"PHY_tchla_1.6",15.7941790881993
3,2,3,0.2,-0.13,-0.15,0,2019-01-04,"PHY_tchla_1.6",15.5816398960133
3,2,3,0.2,-0.13,-0.15,0,2019-01-05,"PHY_tchla_1.6",15.3070418884428
3,2,3,0.2,-0.13,-0.15,0,2019-01-06,"PHY_tchla_1.6",15.1720971277004
3,2,3,0.2,-0.13,-0.15,0,2019-01-07,"PHY_tchla_1.6",14.708783507881
3,2,3,0.2,-0.13,-0.15,0,2019-01-08,"PHY_tchla_1.6",14.9217992033677
3,2,3,0.2,-0.13,-0.15,0,2019-01-09,"PHY_tchla_1.6",15.5394771829787
3,2,3,0.2,-0.13,-0.15,0,2019-01-10,"PHY_tchla_1.6",15.7103313589611
3,2,3,0.2,-0.13,-0.15,0,2019-01-11,"PHY_tchla_1.6",14.9640737819662
3,2,3,0.2,-0.13,-0.15,0,2019-01-12,"PHY_tchla_1.6",14.9434963657668
3,2,3,0.2,-0.13,-0.15,0,2019-01-13,"PHY_tchla_1.6",14.6781885691614
3,2,3,0.2,-0.13,-0.15,0,2019-01-14,"PHY_tchla_1.6",13.8763195459028
3,2,3,0.2,-0.13,-0.15,0,2019-01-15,"PHY_tchla_1.6",14.6381156973909
3,2,3,0.2,-0.13,-0.15,0,2019-01-16,"PHY_tchla_1.6",14.5935088102757
3,2,3,0.2,-0.13,-0.15,0,2019-01-17,"PHY_tchla_1.6",14.5567767696669
3,2,3,0.2,-0.13,-0.15,0,2019-01-18,"PHY_tchla_1.6",14.5888549697657
3,2,3,0.2,-0.13,-0.15,0,2019-01-19,"PHY_tchla_1.6",14.4157957727929
3,2,3,0.2,-0.13,-0.15,0,2019-01-20,"PHY_tchla_1.6",14.1842537375244
3,2,3,0.2,-0.13,-0.15,0,2019-01-21,"PHY_tchla_1.6",14.054299928901
3,2,3,0.2,-0.13,-0.15,0,2019-01-22,"PHY_tchla_1.6",13.8029320958463
3,2,3,0.2,-0.13,-0.15,0,2019-01-23,"PHY_tchla_1.6",13.9471346061428
3,2,3,0.2,-0.13,-0.15,0,2019-01-24,"PHY_tchla_1.6",13.5510900288656
3,2,3,0.2,-0.13,-0.15,0,2019-01-25,"PHY_tchla_1.6",13.3316417500751
