"Lake","DateTime","Site","Depth_m","DataType","ModelRunType","WaterTemp_C","SRP_ugL","DIN_ugL","LightAttenuation_Kd","Chla_ugL","Flag_WaterTemp_C","Flag_SRP_ugL","Flag_DIN_ugL","Flag_LightAttenuation_Kd","Flag_Chla_ugL"
"FCR",2016-12-02,50,0.1,"modeled",1,8.41197701848612,6.36108287006253,8.34053856652683,0.484733846549694,1.81649655734891,0,0,0,0,0
"FCR",2016-12-02,50,1.6,"modeled",1,8.41197701848612,6.36309783318093,8.34848009957271,0.552489406345822,1.7096147882393,0,0,0,0,0
"FCR",2016-12-02,50,3.8,"modeled",1,8.41197697955105,6.35910376980664,8.34598358422056,0.552495113692099,1.71098465452936,0,0,0,0,0
"FCR",2016-12-02,50,5,"modeled",1,8.39120484208233,6.30478372065476,8.42416007365363,0.552058727513626,1.67108695239904,0,0,0,0,0
"FCR",2016-12-02,50,6.2,"modeled",1,8.1765251069342,5.77672921295506,8.69189940705242,0.544337591452767,1.37877609371947,0,0,0,0,0
"FCR",2016-12-02,50,8,"modeled",1,8.17520563723457,5.53883190025727,9.21241257392054,0.542962485215135,1.31321154061843,0,0,0,0,0
"FCR",2016-12-02,50,9,"modeled",1,7.13835205829115,5.07949204655171,22.6647016981622,0.536190404489242,0.578943372170274,0,0,0,0,0
"FCR",2016-12-03,50,0.1,"modeled",1,7.95966695961794,6.35677490825289,8.7943936422651,0.551534326847513,1.80006697812866,0,0,0,0,0
"FCR",2016-12-03,50,1.6,"modeled",1,7.95966695961794,6.35863661417129,8.80175365505306,0.551282500154088,1.68269522365835,0,0,0,0,0
"FCR",2016-12-03,50,3.8,"modeled",1,7.95966695961794,6.35493463708184,8.79954227641417,0.551287793886469,1.68396571942968,0,0,0,0,0
"FCR",2016-12-03,50,5,"modeled",1,7.95966695961794,6.35501745093937,8.80671788061119,0.55127060938174,1.67984143829479,0,0,0,0,0
"FCR",2016-12-03,50,6.2,"modeled",1,7.95966695961794,6.35500740523175,8.80464955102864,0.55127556272344,1.68103024030279,0,0,0,0,0
"FCR",2016-12-03,50,8,"modeled",1,7.95966695961794,6.35521013949313,8.95603622075828,0.551175598429393,1.65703880973145,0,0,0,0,0
"FCR",2016-12-03,50,9,"modeled",1,7.95966695961794,6.35604275309248,9.44431481832725,0.550765052969026,1.55850789924335,0,0,0,0,0
"FCR",2016-12-04,50,0.1,"modeled",1,7.58825035195502,6.3929760486432,9.13758808238286,0.550798412892059,1.80478245220986,0,0,0,0,0
"FCR",2016-12-04,50,1.6,"modeled",1,7.58825035195502,6.39476286696117,9.14465698346571,0.550687683152648,1.68551634797697,0,0,0,0,0
"FCR",2016-12-04,50,3.8,"modeled",1,7.58825035195502,6.39120957883191,9.1425360645554,0.550692961483471,1.68678314737462,0,0,0,0,0
"FCR",2016-12-04,50,5,"modeled",1,7.58825035195502,6.3912890394258,9.1494201842091,0.550675821600972,1.68266957557468,0,0,0,0,0
"FCR",2016-12-04,50,6.2,"modeled",1,7.58825035195502,6.39127942910367,9.17730708728783,0.550680751517419,1.6838527555221,0,0,0,0,0
"FCR",2016-12-04,50,8,"modeled",1,7.58825035195502,6.39147443977202,9.29309574805596,0.550580714672845,1.65984391282427,0,0,0,0,0
"FCR",2016-12-04,50,9,"modeled",1,7.58825035195502,6.39226687129475,9.7581311238798,0.550174212045336,1.56228328222223,0,0,0,0,0
"FCR",2016-12-05,50,0.1,"modeled",1,7.39121999356176,6.41472041099427,9.40950356211863,0.550091083465886,1.81182516895474,0,0,0,0,0
"FCR",2016-12-05,50,1.6,"modeled",1,7.39121999356176,6.41646841891184,9.4164214970175,0.549888116276474,1.6910119573356,0,0,0,0,0
"FCR",2016-12-05,50,3.8,"modeled",1,7.39121999356176,6.41299301352324,9.41433232713129,0.549893415981189,1.6922838864672,0,0,0,0,0
"FCR",2016-12-05,50,5,"modeled",1,7.39121999356176,6.41307085121987,9.42110361163504,0.549876231360079,1.68815957740077,0,0,0,0,0
"FCR",2016-12-05,50,6.2,"modeled",1,7.39121999356176,6.41306130323904,9.41913565973328,0.549881225760739,1.68935823355918,0,0,0,0,0
"FCR",2016-12-05,50,8,"modeled",1,7.39121999356176,6.41325020007774,9.56055411992223,0.549782416754623,1.66564407209128,0,0,0,0,0
"FCR",2016-12-05,50,9,"modeled",1,7.39121999356176,6.41405493820321,10.0329839651677,0.549361470724462,1.56461702485262,0,0,0,0,0
"FCR",2016-12-06,50,0.1,"modeled",1,7.09520333306161,6.447663143087,9.62584518897244,0.549591907375209,1.8295884847394,0,0,0,0,0
"FCR",2016-12-06,50,1.6,"modeled",1,7.09520333306161,6.44935017674456,9.63252716965013,0.549434054261003,1.70715822119136,0,0,0,0,0
"FCR",2016-12-06,50,3.8,"modeled",1,7.09520333306161,6.44599574027086,9.63051666059155,0.549439339206105,1.70842660801602,0,0,0,0,0
"FCR",2016-12-06,50,5,"modeled",1,7.09520333306161,6.44607080436399,9.63703820395264,0.549422188537108,1.70431044745672,0,0,0,0,0
"FCR",2016-12-06,50,6.2,"modeled",1,7.09520333306161,6.4460616704049,9.63515407894606,0.549427143499844,1.70549963851342,0,0,0,0,0
"FCR",2016-12-06,50,8,"modeled",1,7.09520333306161,6.44624498821008,9.77235351771703,0.549327697806617,1.68163267213874,0,0,0,0,0
"FCR",2016-12-06,50,9,"modeled",1,7.09520333306161,6.44700564483144,10.2192605657422,0.548915059083686,1.58259937863548,0,0,0,0,0
